Date and Time,Rider Image Path,Plate Image Path,Extracted Text
2026-04-15 14:45:38,Violations\rider_20260415_144538_694.jpg,Violations\plate_20260415_144538_694.jpg,No Plate Detected
2026-04-15 14:45:38,Violations\rider_20260415_144538_737.jpg,Violations\plate_20260415_144538_737.jpg,No Plate Detected
2026-04-15 14:45:38,Violations\rider_20260415_144538_769.jpg,Violations\plate_20260415_144538_769.jpg,No Plate Detected
2026-04-15 14:45:52,Violations\rider_20260415_144552_529.jpg,,No Plate Detected
2026-04-15 14:45:52,Violations\rider_20260415_144552_531.jpg,,No Plate Detected
2026-04-15 14:45:52,Violations\rider_20260415_144552_531.jpg,,No Plate Detected
2026-04-15 14:46:12,Violations\rider_20260415_144612_289.jpg,Violations\plate_20260415_144612_289.jpg,AP28R6104
2026-04-15 14:46:27,Violations\rider_20260415_144627_763.jpg,Violations\plate_20260415_144627_763.jpg,TOH0145
2026-04-15 14:46:33,Violations\rider_20260415_144633_722.jpg,Violations\plate_20260415_144633_722.jpg,RJ1A09399
2026-04-15 14:46:55,Violations\rider_20260415_144655_078.jpg,Violations\plate_20260415_144655_078.jpg,TN09BT9721
2026-04-15 14:46:55,Violations\rider_20260415_144655_573.jpg,Violations\plate_20260415_144655_573.jpg,TN09BT9721
2026-04-15 14:46:56,Violations\rider_20260415_144656_057.jpg,Violations\plate_20260415_144656_057.jpg,TN09BT9721
2026-04-15 14:47:17,Violations\rider_20260415_144717_354.jpg,Violations\plate_20260415_144717_354.jpg,TN09-BT9721
2026-04-15 14:47:17,Violations\rider_20260415_144717_869.jpg,Violations\plate_20260415_144717_869.jpg,TN09-BT9721
2026-04-15 14:48:17,Violations\rider_20260415_144817_836.jpg,Violations\plate_20260415_144817_836.jpg,MIIARE8520
2026-04-15 14:48:30,Violations\rider_20260415_144830_627.jpg,Violations\plate_20260415_144830_627.jpg,TNO9BJ4054
2026-04-15 14:48:32,Violations\rider_20260415_144832_006.jpg,Violations\plate_20260415_144832_006.jpg,TNO9BJ4054
2026-04-15 14:48:33,Violations\rider_20260415_144833_419.jpg,Violations\plate_20260415_144833_419.jpg,TNO9BJ4054
2026-04-15 14:49:08,Violations\rider_20260415_144908_948.jpg,Violations\plate_20260415_144908_948.jpg,TNO9BJ404
2026-04-15 14:49:09,Violations\rider_20260415_144909_902.jpg,Violations\plate_20260415_144909_902.jpg,TNO9BJ404
2026-04-15 14:49:20,Violations\rider_20260415_144920_871.jpg,Violations\plate_20260415_144920_871.jpg,N013715
2026-04-15 14:49:38,Violations\rider_20260415_144938_318.jpg,Violations\plate_20260415_144938_318.jpg,ELECTRICBUSC&GJ01JT2145
2026-04-15 14:49:49,Violations\rider_20260415_144949_036.jpg,Violations\plate_20260415_144949_036.jpg,TN220J2633
2026-04-15 14:49:55,Violations\rider_20260415_144955_362.jpg,,No Plate Detected
2026-04-15 14:49:55,Violations\rider_20260415_144955_365.jpg,,No Plate Detected
2026-04-15 14:49:55,Violations\rider_20260415_144955_367.jpg,,No Plate Detected
2026-04-15 14:50:28,Violations\rider_20260415_145028_673.jpg,Violations\plate_20260415_145028_673.jpg,HR26F06118
2026-04-15 14:50:40,Violations\rider_20260415_145040_230.jpg,None,No Plate Detected
2026-04-15 14:50:40,Violations\rider_20260415_145040_232.jpg,None,No Plate Detected
